TIME,PID,COMM,ON CPU(invalid),OFF CPU(invalid),CPU%
1660282591.80,      718594,        redis-server,-1,-1,0.00
1660282593.01,      718594,        redis-server,-1,-1,0.00
1660282594.21,      718594,        redis-server,-1,-1,0.00
1660282595.42,      718594,        redis-server,-1,-1,0.00
1660282596.63,      718594,        redis-server,-1,-1,0.00
1660282597.83,      718594,        redis-server,-1,-1,0.00
1660282599.03,      718594,        redis-server,-1,-1,0.00
1660282600.24,      718594,        redis-server,-1,-1,0.00
1660282601.44,      718594,        redis-server,-1,-1,0.00
1660282602.65,      718594,        redis-server,-1,-1,0.00
1660282603.86,      718594,        redis-server,-1,-1,0.00
1660282605.07,      718594,        redis-server,-1,-1,0.00
1660282606.27,      718594,        redis-server,-1,-1,0.00
1660282607.49,      718594,        redis-server,-1,-1,0.00
1660282608.69,      718594,        redis-server,-1,-1,0.00
1660282609.90,      718594,        redis-server,-1,-1,0.00
1660282611.11,      718594,        redis-server,-1,-1,0.00
1660282612.32,      718594,        redis-server,-1,-1,0.00
1660282613.53,      718594,        redis-server,-1,-1,0.00
1660282614.73,      718594,        redis-server,-1,-1,0.00
1660282615.94,      718594,        redis-server,-1,-1,0.00
1660282617.15,      718594,        redis-server,-1,-1,0.00
1660282618.34,      718594,        redis-server,-1,-1,0.00
1660282619.55,      718594,        redis-server,-1,-1,0.00
1660282620.76,      718594,        redis-server,-1,-1,0.00
1660282621.96,      718594,        redis-server,-1,-1,0.00
1660282623.17,      718594,        redis-server,-1,-1,0.00
1660282624.37,      718594,        redis-server,-1,-1,0.00
1660282625.58,      718594,        redis-server,-1,-1,0.00
1660282626.78,      718594,        redis-server,-1,-1,0.00
1660282627.99,      718594,        redis-server,-1,-1,0.00
